"Year","Associated_tsunami","Associated_earthquake","Country","Latitude","Longitude","Elevation","Type","Status","Time","VEI","Deaths","Deaths_description","Missing","Missing_description","Injuries","Injuries_description","Damage_million_dollars","Damage_description","Houses_destroyed","Houses_destroyed_description"
1538,0,0,"Italy",40.827,14.139,458,"Caldera","Historical","D5",3,24,1,NA,NA,NA,NA,NA,NA,NA,NA
1540,1,0,"United States",59.37,-153.42,1252,"Lava dome","Historical","D1",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1550,0,0,"Indonesia",1.68,127.88,1185,"Complex volcano","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1564,0,0,"Indonesia",1.375,127.52,1635,"Stratovolcano","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1565,0,1,"Guatemala",14.381,-90.601,2552,"Complex volcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1566,0,0,"Japan",31.93,130.87,1700,"Shield volcano","Historical","D1",3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1570,0,0,"Nicaragua",11.826,-85.968,1344,"Stratovolcano","Holocene","U",NA,400,3,NA,NA,NA,NA,NA,NA,NA,NA
1576,0,0,"Mexico",19.514,-103.62,3850,"Stratovolcano","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1580,0,0,"Portugal",38.65,-28.08,1053,"Fissure vent","Historical","D2",3,10,1,NA,NA,NA,NA,NA,NA,NA,NA
1580,0,0,"Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1581,0,0,"Guatemala",14.473,-90.88,3763,"Stratovolcano","Historical","D1",4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1586,0,0,"Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",5,10000,4,NA,NA,NA,NA,NA,NA,NA,NA
1587,0,0,"Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1593,0,0,"Indonesia",-8.125,114.042,3332,"Stratovolcano","Historical","D1",5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1595,0,0,"Colombia",4.895,-75.322,5321,"Stratovolcano","Historical","D1",4,636,3,NA,NA,NA,NA,NA,NA,NA,NA
1596,0,0,"Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1597,0,0,"Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1597,0,0,"Indonesia",-8.125,114.042,3332,"Stratovolcano","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1598,0,0,"Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",2,800,3,NA,NA,NA,NA,NA,NA,NA,NA
1598,0,0,"Pacific Ocean",-4.525,129.871,640,"Caldera","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1600,0,1,"Peru",-16.608,-70.85,4850,"Stratovolcano","Historical","D5",6,1400,4,NA,NA,NA,NA,NA,NA,NA,NA
1606,1,0,"Japan",33.13,139.77,854,"Stratovolcano","Historical","D5",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1608,1,0,"Indonesia",0.8,127.325,1715,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1609,0,0,"China",25.32,98.47,2865,"Pyroclastic cone","Historical","D5",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1615,0,0,"Pacific Ocean",-4.525,129.871,640,"Caldera","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,2,NA,2
1617,0,0,"Guatemala",14.473,-90.88,3763,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1625,0,0,"Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1629,0,0,"Iceland",64.42,-17.33,1725,"Caldera","Historical","D1",2,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1630,0,0,"Portugal",37.77,-25.32,805,"Stratovolcano","Historical","D5",4,200,3,NA,NA,NA,NA,NA,NA,NA,NA
