"Year","Associated_tsunami","Associated_earthquake","Country","Latitude","Longitude","Elevation","Type","Status","Time","VEI","Deaths","Deaths_description","Missing","Missing_description","Injuries","Injuries_description","Damage_million_dollars","Damage_description","Houses_destroyed","Houses_destroyed_description"
1993,0,0,"United States",19.425,-155.292,1222,"Shield volcano","Historical","D1",0,1,1,NA,NA,22,1,NA,NA,NA,NA
1993,0,0,"Indonesia",-6.102,105.423,813,"Caldera","Historical","D1",1,1,1,NA,NA,5,1,NA,NA,NA,NA
1993,0,0,"Japan",32.75,130.3,1500,"Complex volcano","Historical","D1",1,1,1,NA,NA,NA,NA,NA,NA,NA,1
1994,0,0,"Vanuatu",-19.52,169.425,361,"Stratovolcano","Historical","D1",3,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1994,0,0,"Indonesia",-0.381,100.473,2891,"Complex volcano","Historical","D1",2,1,1,NA,NA,5,1,NA,NA,NA,NA
1994,1,0,"Papua New Guinea",-4.271,152.203,688,"Pyroclastic shield","Historical","D1",3,4,1,NA,NA,NA,NA,35,4,NA,NA
1994,0,0,"Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",3,60,2,NA,NA,NA,NA,NA,NA,NA,NA
1995,0,0,"Cape Verde",14.95,-24.35,2829,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,20,1,NA,1,10,1
1996,1,0,"Russia",54.05,159.43,1536,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,0,0,"Mexico",19.023,-98.622,5426,"Stratovolcano","Historical","D1",3,5,1,NA,NA,NA,NA,NA,1,NA,NA
1996,0,0,"Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1996,0,0,"Iceland",64.42,-17.33,1725,"Caldera","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1997,0,0,"Indonesia",2.78,125.48,1784,"Stratovolcano","Historical","D1",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1997,0,0,"Montserrat",16.72,-62.18,915,"Stratovolcano","Historical","D1",3,22,1,1,NA,NA,NA,NA,NA,NA,NA
1997,0,0,"Montserrat",16.72,-62.18,915,"Stratovolcano","Historical","D1",3,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1997,1,0,"Montserrat",16.72,-62.18,915,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,0,0,"United States",19.425,-155.292,1222,"Shield volcano","Historical","D1",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1999,1,0,"Montserrat",16.72,-62.18,915,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,0,0,"Guatemala",14.473,-90.88,3763,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,0,0,"Russia",56.653,161.36,3283,"Stratovolcano","Historical","D1",4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2000,1,1,"Japan",34.08,139.53,815,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2000,0,0,"United States",19.425,-155.292,1222,"Shield volcano","Historical","D1",NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
2001,0,0,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",3,1,1,NA,NA,NA,NA,NA,1,NA,NA
2001,0,0,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,1
2002,0,0,"Indonesia",2.78,125.48,1784,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,1
2002,0,0,"Congo, DRC",-1.52,29.25,3470,"Stratovolcano","Historical","D1",1,100,2,NA,NA,400,3,NA,3,NA,3
2002,0,1,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,32,1,NA,2,NA,2
2002,1,0,"Italy",38.789,15.213,926,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,1,NA,1,NA,1
2003,1,0,"Montserrat",16.72,-62.18,915,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,0,0,"Indonesia",-7.942,112.95,2329,"Stratovolcano","Historical","D1",2,2,1,NA,NA,5,1,NA,NA,NA,NA
2005,0,0,"Comoros",-11.75,43.38,2361,"Shield volcano","Historical","D1",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
2006,0,0,"New Zealand",-29.27,-177.92,516,"Stratovolcano","Historical","D1",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2006,1,0,"Montserrat",16.72,-62.18,915,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,0,0,"Philippines",12.77,124.05,1565,"Stratovolcano","Historical","D1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2006,0,0,"Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
2006,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",1,1266,4,NA,NA,NA,NA,NA,1,NA,NA
2006,0,0,"Ecuador",-1.467,-78.442,5023,"Stratovolcano","Historical","D1",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2006,0,0,"Ecuador",-1.467,-78.442,5023,"Stratovolcano","Historical","D1",3,5,1,NA,2,13,1,NA,3,NA,3
2007,0,0,"Colombia",2.92,-76.05,5365,"Stratovolcano","Historical","D5",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1
2007,0,0,"Yemen",15.7,41.742,244,"Stratovolcano","Historical","D3",NA,7,1,NA,NA,1,1,NA,NA,NA,NA
2008,0,0,"Chile",-42.833,-72.646,962,"Caldera","Holocene","D1",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2008,1,0,"United States",52.18,-175.5,314,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0,0,"Ecuador",-1.467,-78.442,5023,"Stratovolcano","Historical","D1",3,2,1,NA,NA,2,1,NA,1,2,1
2008,0,0,"Colombia",2.92,-76.05,5365,"Stratovolcano","Historical","D5",NA,10,1,NA,1,NA,1,NA,NA,NA,NA
2009,0,0,"United States",60.48,-152.75,3108,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2009,0,0,"United States",19.425,-155.292,1222,"Shield volcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2010,0,0,"Ecuador",-1.467,-78.442,5023,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2010,0,0,"Iceland",63.63,-19.62,1666,"Stratovolcano","Historical","D1",2,2,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,0,0,"Guatemala",14.381,-90.601,2552,"Complex volcano","Historical","D1",1,1,1,3,1,NA,NA,NA,1,3,1
2010,1,1,"United States",16.708,145.78,538,"Stratovolcano","Holocene","U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0,0,"Indonesia",2.78,125.48,1784,"Stratovolcano","Historical","D1",3,4,1,NA,NA,5,1,NA,NA,NA,1
2010,0,0,"Indonesia",3.17,98.392,2460,"Stratovolcano","Holocene","U",NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,0,0,"Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",NA,324,3,NA,NA,427,3,600,4,NA,3
2010,0,0,"Ecuador",-1.467,-78.442,5023,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2010,0,0,"Indonesia",-7.942,112.95,2329,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2011,0,0,"Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",NA,1,1,NA,NA,1,1,NA,1,NA,NA
2011,0,0,"Japan",31.93,130.87,1700,"Shield volcano","Historical","D1",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
2011,0,0,"Philippines",12.77,124.05,1565,"Stratovolcano","Historical","D1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2011,0,0,"Indonesia",2.78,125.48,1784,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2011,0,0,"Ecuador",-1.467,-78.442,5023,"Stratovolcano","Historical","D1",4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2011,0,0,"Chile",-40.59,-72.117,2236,"Stratovolcano","Holocene","U",4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2011,0,0,"Eritrea",13.37,41.7,2218,"Stratovolcano","Holocene","Unknown",3,7,1,NA,NA,NA,3,NA,NA,NA,NA
2011,0,0,"Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2011,0,0,"Indonesia",1.358,124.792,1580,"Stratovolcano","Historical","D1",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2011,0,0,"Indonesia",0.8,127.325,1715,"Stratovolcano","Historical","D1",3,4,1,NA,NA,NA,1,NA,NA,NA,NA
2012,0,0,"United States",19.425,-155.292,1222,"Shield volcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2012,0,0,"United States",19.425,-155.292,1222,"Shield volcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2012,0,0,"Russia",55.83,160.33,3682,"Shield volcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2013,0,0,"Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",NA,1,1,NA,NA,1,1,NA,1,NA,NA
2013,0,0,"Indonesia",-8.32,121.708,875,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
2013,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",NA,5,1,NA,NA,8,1,NA,NA,NA,NA
2013,0,0,"Indonesia",-8.32,121.708,875,"Stratovolcano","Historical","D1",3,5,1,NA,NA,NA,NA,NA,NA,NA,NA
2013,0,0,"Peru",-16.355,-70.903,5672,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2013,0,0,"Japan",31.58,130.67,1117,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2013,0,0,"Indonesia",3.17,98.392,2460,"Stratovolcano","Holocene","U",2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2014,0,0,"Indonesia",3.17,98.392,2460,"Stratovolcano","Holocene","U",NA,17,1,NA,NA,3,1,NA,1,NA,2
2014,0,0,"Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",NA,7,1,NA,NA,NA,NA,NA,3,4098,4
2014,0,0,"Japan",35.9,137.48,3063,"Complex volcano","Historical","D1",3,55,2,NA,NA,70,2,NA,NA,NA,NA
2014,0,0,"United States",19.425,-155.292,1222,"Shield volcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,14.5,3,1,1
2014,0,0,"Cape Verde",14.95,-24.35,2829,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
